,product_name,energy_100g,carbohydrates_100g,sugars_100g,proteins_100g,fat_100g,fiber_100g,cholesterol_100g
0,chocolate_cake,272.78928888888885,37.464888888888886,15.073999999999998,2.8415555555555545,13.439777777777786,2.148888888888888,0.0058000000000000005
1,cheesecake,228.96200000000002,10.71,7.14,14.29,14.29,0.0,0.054000000000000006
2,apple_pie,429.244,41.28,25.9675,4.33,23.3975,1.825,0.00975
3,dumplings,306.876,43.36,31.86,4.42,12.39,0.9,0.118
4,spring_rolls,228.484,22.5075,1.345,11.71,9.6025,1.9,0.08175
5,chocolate_mousse,85.50224999999998,7.3424999999999985,4.0875,2.68,6.0925,1.65,0.0
6,chicken_wings,178.055,7.16,1.575,7.8900000000000015,13.41,1.2,0.018500000000000003
7,frozen_yogurt,147.941,8.45,7.04,3.52,11.97,0.7,0.011
8,deviled_eggs,419.90592857142855,54.18357142857143,37.51714285714286,4.412857142857144,21.55428571428572,1.8,0.031999999999999994
9,pad_thai,331.176325,36.938,26.64825,4.79875,18.690999999999995,1.3824999999999996,0.06090000000000001
10,bread_pudding,135.035,6.53,2.685,7.59,9.485,1.6,0.0295
11,ramen,117.588,10.61,0.735,7.515,5.1549999999999985,2.8,0.015500000000000003
12,hot_dog,215.817,4.611666666666667,1.7922222222222226,16.142777777777773,14.306111111111116,0.06666666666666668,0.06794444444444445
13,lobster_bisque,387.897,60.0,45.88,3.53,15.29,2.4,0.029
14,pizza,268.875,19.05,13.1,1.19,23.81,2.4,0.0
15,huevos_rancheros,400.086,63.33,3.33,13.33,8.33,3.3,0.0
16,chicken_quesadilla,110.49766666666666,9.046666666666667,1.5483333333333336,4.616666666666667,6.3599999999999985,0.4833333333333333,0.024500000000000004
17,seaweed_salad,191.84871428571427,11.645714285714286,1.3928571428571428,9.91285714285714,11.381428571428573,0.6857142857142857,0.048857142857142856
18,ice_cream,389.88866666666667,30.36,27.75,3.936666666666667,27.59333333333333,0.8333333333333334,0.13533333333333333
19,bruschetta,293.014,1.72,0.0,10.34,25.86,0.0,0.448
20,french_toast,428.97085714285714,52.91,27.524285714285718,3.802857142857144,22.877142857142854,1.9714285714285715,0.027571428571428573
21,strawberry_shortcake,119.5,20.075,0.66,5.485,2.16,0.95,0.006500000000000001
22,hummus,202.01475,14.3575,3.3675,18.2875,8.9775,7.3,0.0
23,pancakes,364.41525,48.96000000000001,7.24,18.11,16.7575,12.0,0.0
24,scallops,141.01,22.355,0.59,2.94,5.0,2.4,0.0
25,tiramisu,73.49249999999998,6.1400000000000015,1.05,4.5600000000000005,3.685,0.7,0.011
26,miso_soup,226.09400000000002,32.65,7.54,5.665,9.18,2.15,0.038500000000000006
27,mussels,164.20438095238094,29.889047619047627,22.58,4.47047619047619,3.1295238095238096,0.4047619047619048,0.009142857142857144
28,baby_back_ribs,334.65975,44.73000000000001,1.65,8.228333333333332,13.585,2.641666666666667,0.0007500000000000001
29,chicken_curry,199.8722857142857,42.121428571428574,1.2728571428571431,5.2799999999999985,0.8414285714285715,1.9,0.0012857142857142859
30,breakfast_burrito,76.32066666666665,6.6400000000000015,3.41,1.863333333333333,4.93,1.633333333333333,0.0023333333333333327
31,lasagna,149.4945,0.43,0.0,21.37,6.4350000000000005,0.0,0.0735
32,caprese_salad,145.10714285714286,8.457857142857144,2.886428571428572,2.7635714285714283,12.13,5.107142857142857,0.0
33,creme_brulee,267.441,45.35,4.65,9.3,5.23,2.3,0.0
34,red_velvet_cake,185.942,44.19,4.65,9.3,2.33,11.6,0.0
35,edamame,477.04400000000004,25.0,6.82,36.36,25.0,9.1,0.7609999999999999
36,paella,204.70132727272727,16.56254545454545,2.865090909090907,6.172181818181813,13.328363636363635,4.727272727272724,0.0
37,grilled_salmon,220.8170693069307,26.514480198019772,21.293960396039594,3.5787871287128783,11.61871287128712,0.5235148514851485,0.04090594059405942
38,donuts,198.8914545454545,29.578181818181815,2.2,8.299999999999999,5.1154545454545435,1.7727272727272732,0.020818181818181826
39,spaghetti_bolognese,120.21700000000001,6.941111111111113,2.1444444444444444,2.738888888888889,8.968888888888891,0.2222222222222222,0.034888888888888886
40,churros,199.7562,21.444000000000003,1.38,6.334,9.508,0.7,0.028600000000000007
41,guacamole,375.94699999999995,43.01,21.51,21.51,10.75,10.8,0.0
42,baklava,71.461,2.9850000000000003,0.165,8.184999999999999,2.77,0.05,0.029
43,crab_cakes,425.70245454545454,50.84545454545455,3.942727272727273,4.523636363636364,22.295454545454547,2.609090909090909,0.0
44,falafel,148.89700000000002,25.65,10.41,4.09,3.35,1.1,0.0
45,risotto,422.074,82.22,2.22,13.33,3.33,2.2,0.006999999999999999
46,ravioli,262.34233333333333,47.09666666666666,12.053333333333333,5.312499999999999,5.219166666666667,1.7833333333333332,0.008250000000000002
47,waffles,251.12686000000002,26.590999999999994,2.262,10.433600000000002,11.2206,1.264,0.021940000000000008
48,gnocchi,359.934,68.0,4.0,16.0,2.0,8.0,0.0
49,macaroni_and_cheese,219.40200000000002,33.06,1.8534482758620687,10.086206896551724,6.245517241379311,2.0241379310344825,0.03824137931034483
50,garlic_bread,413.6851,51.19000000000001,35.483000000000004,6.744,21.146,4.44,0.033400000000000006
51,french_onion_soup,319.09914285714285,67.11714285714287,2.5,7.5757142857142865,2.2942857142857145,1.585714285714286,0.003857142857142858
52,clam_chowder,84.1758,2.3040000000000003,0.0,14.776,0.7979999999999999,0.0,0.0334
53,greek_salad,85.64166666666667,14.976666666666668,14.5,0.3333333333333333,4.406666666666667,18.33333333333333,0.0
54,carrot_cake,99.185,12.7,1.4,6.51,2.4,1.71,0.02
55,hamburger,190.005,19.05,0.0,11.9,7.14,0.0,0.024
56,french_fries,308.72825,41.465,22.6025,5.6225000000000005,13.6175,2.875,0.07175000000000001
57,onion_rings,283.5222857142857,34.83,24.754285714285718,3.404285714285714,14.75,0.6285714285714287,0.06871428571428571
58,caesar_salad,264.7300571428571,40.815714285714286,6.490571428571428,5.2631428571428565,8.958571428571426,1.7799999999999991,0.006000000000000004
